Geneid	expr	quartile
CLCNKB	0	0
FAM131C	2	1
EPHA2	8013	4
ARHGEF19	486	2
RSG1	133	2
FBXO42	799	3
SZRD1	9698	4
SPATA21	1	1
NECAP2	2668	4
CROCCP3	103	2
RNU1-1	0	0
RNU1-2	0	0
RNU1-3	0	0
RNU1-28P	0	0
RNVU1-18	0	0
RNU1-27P	0	0
RNU1-4	0	0
FAM231B	0	0
MIR3675	0	0
NBPF1	449	2
CROCCP2	203	2
MST1P2	2	1
FAM231A	0	0
FAM231C	0	0
ESPNP	0	0
MST1L	2	1
CROCC	443	2
MFAP2	2218	4
ATP13A2	1180	3
SDHB	2238	4
PADI2	0	0
PADI1	6	1
PADI3	0	0
MIR3972	0	0
PADI4	0	0
PADI6	0	0
RCC2	4713	4
ARHGEF10L	770	3
ACTL8	2	1
LOC101927876	0	0
IGSF21	0	0
KLHDC7A	0	0
PAX7	0	0
TAS1R2	0	0
ALDH4A1	386	2
MIR4695	0	0
MIR1290	0	0
IFFO2	741	3
UBR4	11830	4
EMC1	5586	4
MRTO4	3873	4
AKR7L	13	1
AKR7A3	11	1
LOC100506730	49	2
AKR7A2	1373	3
PQLC2	839	3
CAPZB	9938	4
MINOS1-NBL1	0	0
MINOS1	1686	3
RPS14P3	2	1
NBL1	41	2
HTR6	8	1
TMCO4	1384	3
RNF186	0	0
OTUD3	160	2
PLA2G2E	0	0
PLA2G2A	0	0
PLA2G5	0	0
PLA2G2D	0	0
PLA2G2F	0	0
PLA2G2C	0	0
UBXN10-AS1	0	0
UBXN10	0	0
VWA5B1	0	0
LINC01141	0	0
CAMK2N1	2332	4
MUL1	1822	3
FAM43B	0	0
CDA	21	1
PINK1	800	3
MIR6084	0	0
PINK1-AS	199	2
DDOST	12110	4
KIF17	86	2
SH2D5	355	2
HP1BP3	6472	4
EIF4G3	4548	4
MIR1256	0	0
ECE1	10248	4
LOC100506801	4	1
NBPF3	534	2
ALPL	2	1
RAP1GAP	0	0
USP48	2119	4
LDLRAD2	0	0
HSPG2	8598	4
CELA3B	0	0
CELA3A	0	0
LOC101928043	4	1
LINC00339	397	2
CDC42	11774	4
WNT4	4	1
MIR4418	0	0
ZBTB40	935	3
EPHA8	0	0
MIR6127	0	0
C1QA	0	0
C1QC	0	0
C1QB	0	0
EPHB2	2615	4
MIR4684	0	0
MIR4253	0	0
LACTBL1	0	0
C1orf234	0	0
KDM1A	2949	4
MIR3115	0	0
MIR4419A	0	0
LUZP1	4318	4
HTR1D	14	1
LINC01355	52	2
HNRNPR	11213	4
ZNF436	530	2
ZNF436-AS1	30	1
TCEA3	488	2
ASAP3	188	2
E2F2	549	2
LOC101928163	2	1
ID3	9506	4
MDS2	0	0
RPL11	21383	4
TCEB3	2915	4
TCEB3-AS1	6	1
PITHD1	1627	3
LYPLA2	1635	3
GALE	1505	3
HMGCL	635	3
FUCA1	6	1
CNR2	0	0
MIR378F	0	0
PNRC2	3619	4
SRSF10	5082	4
MYOM3	2	1
IL22RA1	32	1
IFNLR1	0	0
LOC284632	0	0
GRHL3	4	1
STPG1	454	2
NIPAL3	4502	4
RCAN3AS	0	0
RCAN3	450	2
LOC100506985	31	1
NCMAP	0	0
SRRM1	3776	4
CLIC4	34989	4
RUNX3	0	0
MIR6731	0	0
MIR4425	0	0
SYF2	1905	3
RSRP1	537	2
RHD	11	1
TMEM50A	6379	4
RHCE	10	1
TMEM57	1142	3
LDLRAP1	723	3
MAN1C1	0	0
SEPN1	5036	4
MTFR1L	717	3
LOC646471	76	2
AUNIP	288	2
PAQR7	728	3
STMN1	14134	4
MIR3917	0	0
PAFAH2	508	2
EXTL1	18	1
SLC30A2	0	0
TRIM63	0	0
PDIK1L	264	2
FAM110D	0	0
ZNF593	819	3
CNKSR1	0	0
CATSPER4	0	0
LOC101928303	0	0
CEP85	851	3
SH3BGRL3	10099	4
UBXN11	330	2
CD52	0	0
AIM1L	2	1
ZNF683	0	0
LIN28A	0	0
DHDDS	1713	3
LOC101928324	4	1
HMGN2	16248	4
RPS6KA1	102	2
MIR1976	0	0
ARID1A	3895	4
PIGV	470	2
ZDHHC18	1461	3
SFN	10	1
GPN2	659	3
GPATCH3	488	2
NR0B2	0	0
NUDC	5108	4
KDF1	0	0
TRNP1	8858	4
FAM46B	388	2
SLC9A1	1766	3
WDTC1	1298	3
TMEM222	1698	3
ACTG1P20	54	2
RNU6-48P	0	0
SYTL1	8	1
MAP3K6	2005	3
FCN3	4	1
CD164L2	0	0
GPR3	170	2
WASF2	5443	4
AHDC1	1105	3
FGR	4	1
IFI6	62064	4
